#separator:tab
#html:false
#columns: Marathi	Pronunciation	Hindi	English	ExampleMarathi	ExampleEnglish
नमस्कार	namaskār	नमस्कार	hello (respectful greeting)	नमस्कार, तुम्ही कसे आहात?	Hello, how are you?
धन्यवाद	dhanyavād	धन्यवाद	thank you	मदतीबद्दल धन्यवाद.	Thank you for the help.
कृपया	kṛpayā	कृपया	please	कृपया पाणी द्या.	Please give water.
माफ करा	māph karā	माफ कीजिए	sorry / excuse me	उशीर झाला, माफ करा.	I am late, sorry.
हो	ho	हाँ	yes	हो, मी येतो.	Yes, I am coming.
नाही	nāhī	नहीं	no / not	नाही, मला नको.	No, I do not want it.
छान	chān	अच्छा	nice / good	छान काम केलंस.	You did good work.
शुभ सकाळ	śubh sakāḷ	शुभ प्रभात	good morning	शुभ सकाळ, आई.	Good morning, mother.
शुभ रात्री	śubh rātrī	शुभ रात्रि	good night	शुभ रात्री, उद्या भेटू.	Good night, see you tomorrow.
स्वागत आहे	svāgat āhe	स्वागत है	welcome	आमच्या घरी स्वागत आहे.	Welcome to our home.
अभिनंदन	abhinandan	बधाई	congratulations	परीक्षेत यशाबद्दल अभिनंदन.	Congratulations on passing the exam.
भेटूया	bheṭūyā	मिलेंगे	see you (let us meet)	उद्या भेटूया.	See you tomorrow.
ठीक आहे	ṭhīk āhe	ठीक है	okay / it is fine	ठीक आहे, आपण जाऊया.	Okay, let us go.
हरकत नाही	harkat nāhī	कोई बात नहीं	no problem	हरकत नाही, मी थांबतो.	No problem, I will wait.
शुभेच्छा	śubhecchā	शुभकामनाएँ	best wishes	वाढदिवसाच्या शुभेच्छा.	Best wishes for your birthday.
मी	mī	मैं	I	मी पुण्यात राहतो.	I live in Pune.
तू	tū	तुम	you (informal)	तू कुठे जातोस?	Where are you going?
तुम्ही	tumhī	आप	you (respectful)	तुम्ही कसे आहात?	How are you?
तो	to	वह	he	तो माझा भाऊ आहे.	He is my brother.
ती	tī	वह	she	ती माझी बहीण आहे.	She is my sister.
ते	te	वे	they	ते शेतकरी आहेत.	They are farmers.
आम्ही	āmhī	हम	we	आम्ही उद्या जाऊ.	We will go tomorrow.
माझं	mājha	मेरा	my / mine	हे माझं पुस्तक आहे.	This is my book.
कोण	koṇ	कौन	who	दारात कोण आहे?	Who is at the door?
काय	kāy	क्या	what	तुला काय हवं?	What do you want?
कुठे	kuṭhe	कहाँ	where	स्टेशन कुठे आहे?	Where is the station?
कधी	kadhī	कब	when	तू कधी येणार?	When will you come?
कसा	kasā	कैसा	how (is it)	हा आंबा कसा आहे?	How is this mango?
किती	kitī	कितना	how much / how many	याची किंमत किती?	How much does this cost?
का	kā	क्यों	why	तू का हसलास?	Why did you laugh?
आई	āī	माँ	mother	आई स्वयंपाक करते.	Mother cooks food.
वडील	vaḍīl	पिता	father	वडील कार्यालयात जातात.	Father goes to the office.
भाऊ	bhāū	भाई	brother	माझा भाऊ शाळेत जातो.	My brother goes to school.
बहीण	bahīṇ	बहन	sister	माझी बहीण गाते.	My sister sings.
मुलगा	mulgā	बेटा	son	त्यांचा मुलगा डॉक्टर आहे.	Their son is a doctor.
मुलगी	mulgī	बेटी	daughter	माझी मुलगी खेळते.	My daughter plays.
कुटुंब	kuṭumb	परिवार	family	माझं कुटुंब मोठं आहे.	My family is big.
