#separator:tab
#html:false
#columns: Marathi	Pronunciation	Hindi	English	ExampleMarathi	ExampleEnglish
नमस्कार	namaskār	नमस्कार	hello (respectful greeting)	नमस्कार, तुम्ही कसे आहात?	Hello, how are you?
धन्यवाद	dhanyavād	धन्यवाद	thank you	मदतीबद्दल धन्यवाद.	Thank you for the help.
कृपया	kṛpayā	कृपया	please	कृपया पाणी द्या.	Please give water.
माफ करा	māph karā	माफ कीजिए	sorry / excuse me	उशीर झाला, माफ करा.	I am late, sorry.
हो	ho	हाँ	yes	हो, मी येतो.	Yes, I am coming.
नाही	nāhī	नहीं	no / not	नाही, मला नको.	No, I do not want it.
छान	chān	अच्छा	nice / good	छान काम केलंस.	You did good work.
शुभ सकाळ	śubh sakāḷ	शुभ प्रभात	good morning	शुभ सकाळ, आई.	Good morning, mother.
शुभ रात्री	śubh rātrī	शुभ रात्रि	good night	शुभ रात्री, उद्या भेटू.	Good night, see you tomorrow.
स्वागत आहे	svāgat āhe	स्वागत है	welcome	आमच्या घरी स्वागत आहे.	Welcome to our home.
अभिनंदन	abhinandan	बधाई	congratulations	परीक्षेत यशाबद्दल अभिनंदन.	Congratulations on passing the exam.
भेटूया	bheṭūyā	मिलेंगे	see you (let us meet)	उद्या भेटूया.	See you tomorrow.
ठीक आहे	ṭhīk āhe	ठीक है	okay / it is fine	ठीक आहे, आपण जाऊया.	Okay, let us go.
हरकत नाही	harkat nāhī	कोई बात नहीं	no problem	हरकत नाही, मी थांबतो.	No problem, I will wait.
शुभेच्छा	śubhecchā	शुभकामनाएँ	best wishes	वाढदिवसाच्या शुभेच्छा.	Best wishes for your birthday.
एक	ek	एक	one	मला एक सफरचंद हवं.	I want one apple.
दोन	don	दो	two	माझ्याकडे दोन पुस्तकं आहेत.	I have two books.
तीन	tīn	तीन	three	तीन वाजले.	It is three o’clock.
चार	chār	चार	four	टेबलाला चार पाय आहेत.	The table has four legs.
पाच	pāch	पाँच	five	पाच मिनिटं थांब.	Wait five minutes.
सहा	sahā	छह	six	सहा वाजता उठ.	Wake up at six.
सात	sāt	सात	seven	आठवड्यात सात दिवस.	Seven days in a week.
आठ	āṭh	आठ	eight	मला आठ आंबे हवेत.	I want eight mangoes.
नऊ	naū	नौ	nine	नऊ वाजले का?	Is it nine o’clock?
दहा	dahā	दस	ten	दहा रुपये द्या.	Give ten rupees.
अकरा	akarā	ग्यारह	eleven	अकरा मुलं आहेत.	There are eleven children.
बारा	bārā	बारह	twelve	बारा महिने असतात.	There are twelve months.
तेरा	terā	तेरह	thirteen	तेरा तारखेला ये.	Come on the thirteenth.
चौदा	chaudā	चौदह	fourteen	चौदा पुस्तकं आण.	Bring fourteen books.
पंधरा	pandharā	पंद्रह	fifteen	पंधरा ऑगस्ट स्वातंत्र्यदिन.	Fifteenth August is Independence Day.
सोळा	soḷā	सोलह	sixteen	सोळा वर्षं पूर्ण.	Sixteen years complete.
सतरा	satarā	सत्रह	seventeen	सतराशे रुपये.	Seventeen hundred rupees.
अठरा	aṭharā	अठारह	eighteen	अठरा वर्षांनंतर मतदान.	Voting after eighteen years.
एकोणीस	ekoṇīs	उन्नीस	nineteen	एकोणीस रुपये उरले.	Nineteen rupees remain.
वीस	vīs	बीस	twenty	वीस रुपये द्या.	Give twenty rupees.
